k,mx,my,est_px,est_py
77,81.8882626760697,24.1336334591441,79.4826700462825,22.8815662982203
78,83.2647470638933,16.397535195915,81.4271953722311,21.2838547865199
79,82.6447129518377,22.4149448164527,82.7462128121544,21.5677850698894
80,87.0374072694817,23.8538927955814,84.9043900974485,22.2047578632579
81,86.8154699918379,24.6082538316776,86.5002591289125,22.9441819040511
82,92.3936141798849,24.0559064777358,89.2023747319859,23.3999897784169
83,91.7474815581739,23.4378487883823,91.121575631237,23.5890417286003
84,90.6473924624296,23.3868924936232,92.2388763011504,23.7057909002534
85,98.0890069067772,20.3414377083462,95.0239221175285,22.9411815483835
86,100.594250590704,21.7807047756729,97.8627275769359,22.6706388299232
87,100.722582879194,23.9365685723949,100.074057937846,23.0280513381894
88,104.136420569782,19.2033708676011,102.643003035688,22.0271855266463
89,105.909925062496,18.3657704230274,105.057267519191,20.9508556910111
90,105.850282529087,18.5671931883567,106.828953997498,20.1150685916673
91,115.132383575294,15.09358414058,110.619977039773,18.489481939995
92,117.737692153958,18.4268389944978,114.27780006257,18.080074794236
93,118.401796598331,16.2374695484025,117.261440947203,17.1969767118019
94,118.447382313946,16.3254502545772,119.487384824095,16.5394976063187
95,124.724299776555,15.2887600776077,122.780708445247,15.7688384874394
96,126.046785883845,12.5036679591946,125.615970469276,14.4249290508629
97,127.555058426895,10.8944358042098,128.105426779515,12.9263820024811
98,131.807047676989,13.5890586993627,131.055119444073,12.4919890963348
99,136.037974455945,5.68879114993139,134.388435154279,10.055524965396
100,135.36485453396,12.2776203562749,137.194703478925,9.01428411804538
101,142.926077800472,9.76508885415218,140.000971803571,7.97304327069476
102,145.655203184803,8.44328388831134,142.807240128217,6.93180242334413
103,147.362248597563,5.51056781986613,145.613508452862,5.89056157599351
104,154.776288339827,3.50608418456144,148.419776777508,4.84932072864289
105,155.372567346176,7.20819570329643,151.226045102154,3.80807988129227
106,160.438344407281,7.06104584844685,154.0323134268,2.76683903394165
107,165.357872913588,0.959454111233841,156.838581751446,1.72559818659103
108,170.02821679087,1.68516912265313,159.644850076092,0.684357339240405
109,175.932476283797,2.19870413442412,162.451118400737,-0.356883508110216
110,179.07182107641,0.447691866409558,165.257386725383,-1.39812435546084
111,186.641397900241,-2.2629060753406,168.063655050029,-2.43936520281146
